patient_notes,reasoning,label
"Ms. Lee, 22, presents with a sudden onset of symptoms over the past few weeks. She's lost 15 pounds without trying, is constantly thirsty, and needs to urinate every hour. Her roommate noticed her breath smelled 'sweet, like fruit.' She's also been feeling quite nauseous and has vomited a couple of times.","The rapid onset of significant weight loss, severe polyuria and polydipsia, combined with fruity-smelling breath and nausea/vomiting, are classic signs of Diabetic Ketoacidosis (DKA), commonly seen in newly diagnosed or poorly controlled Type 1 Diabetes.",Diabetes
"38-year-old female complaining of a persistent cough and mild wheezing that seems to be triggered by strong odors, like perfumes or cleaning products, and by exposure to cold air. She denies any history of smoking or significant allergies. Her symptoms resolve quickly once she's away from the trigger.","Cough and mild wheezing consistently triggered by specific irritants (strong odors, cold air) without a history of smoking or classic allergies suggests reactive airway disease, where airways become hyper-responsive to environmental stimuli.",COPD/Respiratory
"A 25-year-old female reports occasional 'flutters' in her chest and sometimes feels a bit short of breath with moderate exertion, but she generally considers herself healthy. She denies severe pain or fainting, but the sensations are bothersome. She also mentions mild, intermittent fatigue.","Intermittent palpitations and mild exertional dyspnea in a young, otherwise healthy individual can be associated with mitral valve prolapse, a common and often benign valvular condition, though other causes of palpitations should be considered.",Cardiovascular
"Mr. Kim, 35, reports feeling constantly exhausted, despite trying to get enough sleep. He's also noticed he's much more irritable than usual and has trouble concentrating. He attributes it to stress at work and thinks he might be depressed or anxious. He also mentioned he's been incredibly hungry lately, eating more but still feeling tired, and sometimes his vision gets a bit fuzzy.","While fatigue, irritability, and sleep disturbance can be symptoms of anxiety or depression, the combination with increased hunger (polyphagia) and intermittent blurry vision should raise suspicion for Diabetes. Uncontrolled blood sugar can cause mood swings, fatigue, and osmotic vision changes, often mimicking psychological distress initially.",Diabetes
"A 10-year-old boy's parents are concerned because he's always been a bit smaller than other kids his age and gets tired very easily during physical activities. They've also noticed his lips sometimes look a little blue after he's been running around, and a doctor mentioned a heart murmur when he was a baby.","Exercise intolerance, cyanosis (blue lips), growth delay, and a history of a heart murmur are all indicators of a possible underlying congenital heart defect, where there is an abnormality in the heart's structure from birth.",Cardiovascular
"19yo female presents after accidentally scratching her eye with her fingernail while putting in contacts. She reports severe eye pain, tearing, redness, and feels like something is still in her eye. Light makes the pain worse.","Acute onset of severe pain, foreign body sensation, tearing, redness, and photophobia after a known injury are classic signs of a corneal abrasion, a scratch on the clear front surface of the eye.",Eye Condition
"29-year-old female, recently had a baby, reports pain and stiffness in her hands and wrists, particularly around the base of her thumbs and her finger joints. The pain is worse with lifting or carrying her baby and often feels like a burning sensation. She also describes feeling quite exhausted all the time.","Postpartum onset of hand and wrist pain, especially affecting the small joints and thumb base (de Quervain's tenosynovitis can be a mimic but the diffuse joint pain suggests more), combined with fatigue, could indicate an inflammatory arthritis like rheumatoid arthritis, which can have onset or flares postpartum. The 'burning sensation' could be nerve irritation secondary to inflammation.",Arthritis
40-year-old male reports pain and stiffness in his right knee and ankle that started about two weeks after a bout of severe diarrhea. He also noticed some redness in his eyes and difficulty urinating due to discomfort. The joint pain is asymmetric and feels worse in the mornings.,"The triad of arthritis (knee, ankle), conjunctivitis (red eyes), and urethritis (dysuria) following a gastrointestinal infection (diarrhea) is characteristic of reactive arthritis (formerly Reiter's syndrome), an inflammatory arthritis.",Arthritis
"26-year-old female reports severe, daily headaches that feel like pressure behind her eyes, often accompanied by blurred vision and a whooshing sound in her ears (tinnitus), especially when she bends over. She's gained some weight recently, but these headaches are debilitating and she's worried about her vision, which sometimes flickers.","The symptoms of severe, daily headaches, pulsatile tinnitus, blurred vision, and transient visual obscurations (flickering vision), particularly in an overweight young female, are highly suggestive of Idiopathic Intracranial Hypertension (Pseudotumor Cerebri), a condition of elevated cerebrospinal fluid pressure mimicking a brain tumor.",Neurological
"38yo male reports a sudden onset of redness and mild tenderness in a localized area of his right eye. It's not as painful as he'd expect for something so red, and his vision is unaffected. He's prone to stress and has had similar episodes before.","Localized redness and mild tenderness of the episclera, without significant pain or vision changes, often self-limiting, is characteristic of episcleritis, an inflammation of the tissue between the conjunctiva and sclera.",Eye Condition
"20-year-old female with a history of severe asthma, presenting for frequent ER visits due to asthma exacerbations despite being on daily inhaled corticosteroids and a long-acting beta-agonist. She struggles significantly with exercise, often feeling short of breath, and uses her rescue inhaler multiple times a day.","Frequent severe asthma exacerbations requiring ER visits, despite maximal daily medication, and significant exercise limitation due to dyspnea, indicate poorly controlled or severe persistent asthma, a chronic respiratory disease.",COPD/Respiratory
"45-year-old female reports feeling unusually tired for the past few months, struggling with daily tasks. She mentions episodes where her vision in one eye becomes blurry for a few days, then clears up, and has had strange tingling sensations in her hands and feet that come and go. She's also noticed some balance issues and feels generally 'off', attributing it to stress and anxiety, but these symptoms are persistent and concerning.","While fatigue and anxiety can be non-specific, the combination of transient unilateral vision loss (optic neuritis-like), intermittent sensory disturbances (tingling), and balance issues, especially in a relapsing-remitting pattern, strongly suggests a demyelinating condition like Multiple Sclerosis (MS). These are classic neurological 'gold markers' despite overlapping with general fatigue/anxiety.",Neurological
"14-year-old girl presents with persistent swelling and pain in her left knee that has lasted for over six weeks, without any clear injury. Her parents also noticed she's been running a low-grade fever periodically and seems more tired than usual. She denies any specific trauma but finds it difficult to fully bend her knee.","Persistent monoarticular arthritis (knee swelling/pain >6 weeks) in a child, especially with systemic symptoms like low-grade fever and fatigue, points towards Juvenile Idiopathic Arthritis (JIA), a chronic inflammatory arthritis in children.",Arthritis
"An 18-year-old female frequently gets very dizzy and lightheaded, sometimes to the point of nearly fainting, whenever she stands up from sitting or lying down. She notes her heart starts racing significantly when she stands, but her symptoms improve quickly once she sits or lies back down. She finds it impacts her daily activities.","Orthostatic intolerance characterized by a substantial increase in heart rate upon standing, without a significant drop in blood pressure, is classic for Postural Orthostatic Tachycardia Syndrome (POTS), a form of autonomic dysfunction affecting cardiovascular regulation.",Cardiovascular
"25yo male complains of progressively worsening blurred and distorted vision in both eyes, which his glasses no longer correct. He sees 'ghosting' around lights and has increased sensitivity to glare. He often rubs his eyes vigorously.","Progressive blurring and distortion of vision, ghosting, glare sensitivity, and inability to correct vision with standard glasses, especially in a younger individual, can indicate keratoconus, a condition where the cornea thins and bulges into a cone shape.",Eye Condition
"15-year-old male with a known history of Cystic Fibrosis. He is here for his routine check-up, reporting a chronic productive cough with thick mucus, and he's had several lung infections requiring antibiotics this year. His parents are concerned about his poor weight gain despite a good appetite.","The patient's known diagnosis of Cystic Fibrosis, coupled with chronic productive cough, recurrent lung infections, and failure to thrive, confirms a severe, chronic respiratory condition directly related to CF.",COPD/Respiratory
"Mr. Green, 62, presents with a history of recurrent skin boils, particularly in his armpits and groin, which have been bothering him for the past six months. He also points out some dark, velvety patches on the back of his neck and under his arms that have slowly appeared. He admits to feeling thirstier than usual and having to pee more often, but brushed it off as just getting older.","Recurrent skin infections and acanthosis nigricans (dark, velvety skin patches) are strong indicators of insulin resistance and often precede or accompany Type 2 Diabetes. When combined with classic symptoms like increased thirst (polydipsia) and frequent urination (polyuria), the diagnosis of Diabetes becomes highly probable.",Diabetes
